customer_id,age,gender,tenure_months,policy_type,annual_premium,late_payments,auto_debit,num_claims,total_claim_amount,interactions,avg_response_days,satisfaction,payment_consistency,claim_to_premium,engagement_score,renewal_prob_synthetic,renewed,last_interaction_date
100082,31,M,105,Home,21212,0,1,0,0,1,1.6,4.6,1.0,0.0,3.16,0.838,1,2024-05-25
100083,34,F,73,Health,27348,1,1,0,0,4,3.2,3.6,0.986,0.0,3.76,0.689,1,2025-05-08
100084,53,M,119,Health,10426,2,1,0,0,1,1.5,3.7,0.983,0.0,2.62,0.711,0,2025-07-06
100085,67,M,85,Term,9211,0,0,0,0,0,0.1,4.6,1.0,0.0,2.76,0.876,1,2024-07-31
100086,57,F,115,Health,11446,0,0,0,0,3,5.8,3.1,1.0,0.0,3.06,0.808,1,2025-06-05
100087,21,F,67,Health,16041,1,1,0,0,4,2.8,4.1,0.985,0.0,4.06,0.662,0,2025-05-10
100088,19,M,89,Motor,17030,1,1,0,0,0,2.6,3.7,0.989,0.0,2.22,0.749,0,2024-07-30
100089,79,F,89,Health,15695,1,0,0,0,2,6.3,4.1,0.989,0.0,3.26,0.469,0,2025-09-09
100090,23,M,76,Motor,32650,0,1,0,0,3,6.8,4.4,1.0,0.0,3.84,0.876,1,2025-04-02
100091,71,M,93,Term,10250,0,1,0,0,3,2.9,5.0,1.0,0.0,4.2,0.882,1,2025-11-19
100092,59,F,11,Term,8894,0,0,0,0,0,0.8,2.4,1.0,0.0,1.44,0.799,1,2024-08-08
100093,21,F,116,Term,8700,1,0,0,0,1,3.0,3.4,0.991,0.0,2.44,0.522,1,2024-07-16
100094,71,F,11,Term,31961,0,1,0,0,2,7.6,3.9,1.0,0.0,3.14,0.775,1,2025-05-24
100095,46,F,113,Health,41262,0,1,0,0,4,1.3,3.7,1.0,0.0,3.82,0.967,1,2024-10-23
100096,35,M,26,Motor,17066,2,1,1,121,6,1.0,3.4,0.926,0.007,4.44,0.386,1,2024-10-08
100097,43,M,53,Health,28194,0,1,0,0,6,3.5,2.3,1.0,0.0,3.78,0.939,1,2024-04-09
100098,61,M,14,Health,19957,1,1,1,7302,1,2.8,3.3,0.933,0.366,2.38,0.419,0,2025-08-20
100099,51,F,64,Motor,45100,1,1,0,0,0,3.6,4.0,0.985,0.0,2.4,0.692,0,2024-04-04
100100,27,F,80,Whole,17096,1,1,0,0,1,3.4,4.5,0.988,0.0,3.1,0.56,1,2025-11-14
100101,79,M,120,Health,10297,1,0,0,0,2,2.7,3.7,0.992,0.0,3.02,0.727,1,2025-06-07
100102,53,M,10,Whole,9248,0,1,0,0,2,2.0,4.1,1.0,0.0,3.26,0.873,1,2025-06-07
100103,31,M,31,Motor,25217,0,0,0,0,2,2.2,3.8,1.0,0.0,3.08,0.886,1,2024-01-17
100104,48,F,95,Term,20144,0,1,1,2431,3,0.8,4.1,1.0,0.121,3.66,0.596,1,2024-09-04
100105,65,M,36,Term,37722,0,1,0,0,1,2.5,2.8,1.0,0.0,2.08,0.837,1,2024-06-11
100106,32,M,10,Health,22917,0,1,1,2598,1,2.7,4.2,1.0,0.113,2.92,0.645,0,2024-02-28
100107,25,M,26,Home,21674,0,1,0,0,1,2.3,3.3,1.0,0.0,2.38,0.884,0,2025-11-26
100108,31,F,20,Health,5066,2,1,0,0,1,3.9,3.4,0.905,0.0,2.44,0.693,1,2024-05-19
100109,40,F,44,Motor,18261,0,1,1,2271,0,2.6,3.7,1.0,0.124,2.22,0.629,1,2025-02-21
100110,77,F,62,Motor,36552,0,1,1,14983,1,3.3,3.6,1.0,0.41,2.56,0.559,0,2025-05-21
100111,74,M,73,Health,15231,0,1,0,0,3,2.9,3.3,1.0,0.0,3.18,0.728,1,2024-04-12
100112,79,M,79,Motor,6947,1,1,0,0,1,3.2,4.7,0.988,0.0,3.22,0.617,1,2024-09-08
100113,57,F,9,Motor,8111,0,0,0,0,4,0.9,4.0,1.0,0.0,4.0,0.859,0,2024-09-03
100114,38,F,71,Term,16372,0,1,0,0,1,1.1,3.4,1.0,0.0,2.44,0.916,1,2024-10-17
100115,33,M,90,Whole,34703,2,1,0,0,0,5.2,3.4,0.978,0.0,2.04,0.633,1,2024-07-21
100116,62,M,24,Term,11108,1,1,1,3618,0,3.7,3.8,0.96,0.326,2.28,0.451,1,2025-06-19
100117,35,M,12,Health,3257,0,1,0,0,4,0.9,3.5,1.0,0.0,3.7,0.98,1,2025-08-23
100118,64,M,60,Motor,16731,2,0,1,5426,3,0.0,3.1,0.967,0.324,3.06,0.522,1,2024-08-11
100119,70,F,84,Whole,17521,0,1,0,0,0,4.8,3.9,1.0,0.0,2.34,0.98,1,2024-01-15
100120,41,M,120,Health,13784,0,1,0,0,3,4.3,3.8,1.0,0.0,3.48,0.98,1,2024-09-27
100121,43,M,78,Motor,22787,1,0,0,0,1,2.1,3.7,0.987,0.0,2.62,0.533,1,2025-10-31
100122,42,M,86,Health,5944,0,0,0,0,2,3.2,4.9,1.0,0.0,3.74,0.98,1,2025-07-27
100123,77,M,16,Health,15000,0,0,0,0,2,3.4,3.8,1.0,0.0,3.08,0.896,1,2024-01-24
100124,77,M,29,Motor,11359,0,0,0,0,2,1.2,3.1,1.0,0.0,2.66,0.818,1,2024-03-04
100125,77,M,32,Health,3584,0,0,0,0,3,3.0,4.2,1.0,0.0,3.72,0.731,1,2024-06-27
100126,62,M,83,Motor,23269,0,1,0,0,1,2.8,2.8,1.0,0.0,2.08,0.939,1,2024-03-01
100127,58,F,119,Term,19333,0,0,0,0,5,1.1,4.9,1.0,0.0,4.94,0.964,1,2024-01-11
100128,46,F,35,Term,9413,0,1,0,0,1,3.4,3.6,1.0,0.0,2.56,0.859,1,2025-06-11
100129,32,M,43,Health,22083,0,0,0,0,4,3.6,3.2,1.0,0.0,3.52,0.703,0,2024-02-24
100130,62,F,96,Health,9616,0,1,0,0,0,0.8,3.6,1.0,0.0,2.16,0.854,1,2024-11-07
100131,18,F,119,Home,10629,0,1,0,0,2,4.7,4.1,1.0,0.0,3.26,0.953,1,2024-05-04
100132,42,F,53,Home,15421,0,1,0,0,0,1.9,2.0,1.0,0.0,1.2,0.948,1,2024-08-07
100133,24,M,20,Motor,34529,0,1,0,0,1,1.7,3.7,1.0,0.0,2.62,0.848,1,2025-06-24
100134,26,M,115,Whole,11494,0,0,0,0,1,4.5,4.1,1.0,0.0,2.86,0.802,1,2025-08-21
100135,41,M,104,Home,41766,0,1,0,0,0,4.4,4.8,1.0,0.0,2.88,0.73,1,2024-08-11
100136,18,M,84,Motor,24638,0,1,1,2620,0,1.3,2.7,1.0,0.106,1.62,0.832,1,2024-08-13
100137,61,M,8,Health,14824,1,1,0,0,0,3.9,2.2,0.889,0.0,1.32,0.574,1,2024-08-02
100138,25,F,99,Motor,38622,0,1,1,7688,1,3.9,3.6,1.0,0.199,2.56,0.639,0,2024-06-10
100139,41,M,42,Term,24561,1,0,0,0,4,2.2,4.1,0.977,0.0,4.06,0.43,0,2024-04-21
100140,28,M,77,Term,21008,0,1,0,0,0,4.2,3.3,1.0,0.0,1.98,0.836,1,2024-03-12
100141,68,F,105,Motor,8944,0,1,0,0,2,0.0,3.8,1.0,0.0,3.08,0.98,1,2025-07-02
100142,34,M,70,Health,9301,0,0,0,0,4,1.8,4.0,1.0,0.0,4.0,0.746,1,2025-07-26
100143,25,F,111,Health,9514,1,1,0,0,3,4.7,4.4,0.991,0.0,3.84,0.742,1,2024-09-17
100144,52,F,16,Health,14345,0,1,0,0,3,2.0,4.5,1.0,0.0,3.9,0.784,1,2024-12-29
100145,52,F,69,Home,51462,0,0,0,0,1,0.9,3.0,1.0,0.0,2.2,0.826,1,2024-12-05
100146,50,F,53,Health,15458,0,1,2,36152,2,0.0,3.2,1.0,2.339,2.72,0.721,1,2024-05-09
100147,76,M,45,Health,23448,0,0,0,0,3,5.0,2.6,1.0,0.0,2.76,0.71,1,2025-02-18
100148,22,M,51,Term,19314,0,1,0,0,1,1.6,4.8,1.0,0.0,3.28,0.944,1,2025-03-28
100149,59,F,98,Whole,16594,0,1,0,0,1,0.0,3.2,1.0,0.0,2.32,0.919,1,2025-01-09
100150,56,F,6,Home,29373,1,0,1,10797,3,3.7,3.5,0.857,0.368,3.3,0.369,0,2025-11-02
100151,75,M,33,Health,10374,0,0,0,0,0,6.2,3.3,1.0,0.0,1.98,0.792,0,2024-02-01
100152,58,F,79,Health,39057,2,1,1,2811,2,3.2,4.6,0.975,0.072,3.56,0.495,0,2024-12-22
100153,45,M,15,Health,9797,1,0,1,21512,1,0.0,3.0,0.938,2.196,2.2,0.304,1,2024-06-17
100154,24,F,14,Motor,21923,1,0,0,0,3,1.5,5.0,0.933,0.0,4.2,0.438,1,2025-07-21
100155,26,M,39,Health,4551,1,1,0,0,4,5.0,2.6,0.975,0.0,3.16,0.606,0,2024-09-19
100156,25,F,63,Motor,12101,1,0,0,0,1,3.4,2.4,0.984,0.0,1.84,0.717,1,2025-09-20
100157,29,F,5,Health,49075,2,0,0,0,4,0.3,3.2,0.667,0.0,3.52,0.382,0,2025-06-24
100158,51,M,116,Term,2602,0,1,0,0,3,8.1,5.0,1.0,0.0,4.2,0.919,1,2025-06-12
100159,50,M,90,Home,6167,0,0,1,11881,0,1.9,2.3,1.0,1.927,1.38,0.511,0,2024-04-12
100160,65,M,112,Home,16810,0,0,0,0,0,2.5,4.1,1.0,0.0,2.46,0.98,1,2024-12-29
100161,72,F,81,Home,23823,1,1,0,0,2,2.3,3.8,0.988,0.0,3.08,0.499,1,2024-12-19
100162,40,F,107,Home,7025,0,1,1,29467,3,4.8,3.8,1.0,4.195,3.48,0.685,0,2025-03-01
100163,79,F,111,Motor,17676,1,1,0,0,2,2.5,5.0,0.991,0.0,3.8,0.628,0,2024-06-08
100164,41,F,52,Motor,7179,0,1,2,9656,2,0.0,3.3,1.0,1.345,2.78,0.612,1,2024-07-19
100165,54,F,16,Motor,21748,0,1,0,0,0,0.0,4.1,1.0,0.0,2.46,0.769,0,2024-09-17
100166,52,M,99,Health,38495,0,1,0,0,4,1.8,3.8,1.0,0.0,3.88,0.914,0,2025-03-13
100167,61,M,38,Term,19907,0,1,0,0,2,3.4,3.4,1.0,0.0,2.84,0.797,1,2025-07-08
100168,57,F,53,Health,12948,0,1,0,0,3,2.0,3.3,1.0,0.0,3.18,0.787,1,2025-04-20
100169,39,M,87,Home,15873,0,1,0,0,3,4.2,4.0,1.0,0.0,3.6,0.695,1,2025-11-11
100170,44,M,77,Health,21370,1,1,1,11846,3,5.9,3.5,0.987,0.554,3.3,0.332,0,2025-02-01
100171,52,M,97,Motor,30623,1,1,0,0,4,0.5,3.5,0.99,0.0,3.7,0.681,0,2025-11-05
100172,18,M,93,Term,16791,0,1,0,0,2,3.4,3.0,1.0,0.0,2.6,0.98,1,2025-09-10
100173,52,F,53,Whole,40251,0,1,0,0,2,2.0,3.3,1.0,0.0,2.78,0.799,1,2025-10-18
100174,54,M,46,Health,6604,0,1,0,0,2,1.5,4.2,1.0,0.0,3.32,0.92,1,2025-01-09
100175,64,F,98,Term,48314,2,0,0,0,0,1.9,3.4,0.98,0.0,2.04,0.574,1,2024-10-29
100176,31,M,98,Term,12807,1,1,1,10399,3,4.4,4.2,0.99,0.812,3.72,0.396,1,2025-10-27
100177,20,M,91,Term,17902,0,0,0,0,2,3.2,4.4,1.0,0.0,3.44,0.822,1,2024-01-11
100178,18,M,15,Motor,18057,0,1,2,79886,2,2.0,4.3,1.0,4.424,3.38,0.552,1,2025-03-14
100179,22,F,59,Term,9646,1,0,2,13150,3,6.8,4.7,0.983,1.363,4.02,0.3,0,2025-08-25
100180,43,F,50,Whole,23078,0,1,0,0,3,2.3,4.6,1.0,0.0,3.96,0.837,0,2024-01-14
100181,72,F,9,Term,29998,1,0,1,3317,2,3.7,4.5,0.9,0.111,3.5,0.347,0,2025-03-24
100182,31,F,26,Motor,39627,1,1,0,0,2,2.8,3.6,0.963,0.0,2.96,0.51,1,2024-08-11
100183,56,F,3,Health,16853,0,0,0,0,2,0.0,2.1,1.0,0.0,2.06,0.787,1,2025-04-04
100184,44,F,100,Health,12438,1,1,0,0,2,2.4,2.8,0.99,0.0,2.48,0.594,1,2024-10-21
100185,26,F,47,Health,15382,1,1,0,0,0,1.8,3.7,0.979,0.0,2.22,0.641,0,2024-04-14
100186,32,F,5,Term,15600,0,1,1,8181,3,2.1,4.2,1.0,0.524,3.72,0.705,1,2024-12-22
100187,32,M,62,Motor,24693,1,1,0,0,2,7.0,4.6,0.984,0.0,3.56,0.652,1,2024-06-11
100188,43,F,84,Motor,25487,0,1,0,0,2,1.8,3.3,1.0,0.0,2.78,0.7,1,2025-02-17
100189,59,F,84,Term,44525,1,0,0,0,3,3.2,4.4,0.988,0.0,3.84,0.558,1,2024-05-20
100190,77,F,5,Health,11980,0,0,1,12938,3,4.6,3.8,1.0,1.08,3.48,0.527,1,2024-12-17
100191,30,M,10,Term,21007,0,1,0,0,2,1.5,3.9,1.0,0.0,3.14,0.84,1,2024-03-19
100192,68,F,80,Term,14881,0,0,0,0,3,1.0,4.3,1.0,0.0,3.78,0.806,1,2024-10-16
100193,49,F,63,Motor,14317,0,1,0,0,1,3.6,4.5,1.0,0.0,3.1,0.867,0,2024-08-09
100194,56,M,25,Health,15305,1,0,0,0,5,3.1,3.3,0.962,0.0,3.98,0.562,0,2024-04-17
100195,66,F,44,Term,24625,0,0,0,0,3,4.0,3.5,1.0,0.0,3.3,0.884,1,2025-01-21
100196,69,M,25,Whole,10310,1,1,0,0,4,0.0,5.0,0.962,0.0,4.6,0.586,1,2024-12-15
100197,78,M,30,Home,21242,0,1,2,42956,0,6.3,2.4,1.0,2.022,1.44,0.436,0,2024-12-10
100198,49,M,14,Motor,21909,0,0,1,23004,3,3.1,4.9,1.0,1.05,4.14,0.643,1,2025-08-25
100199,21,M,86,Motor,13064,0,1,0,0,2,5.1,3.4,1.0,0.0,2.84,0.895,1,2025-04-10
100200,47,F,43,Health,10748,0,1,0,0,3,7.8,4.0,1.0,0.0,3.6,0.81,1,2024-06-04
100201,54,M,28,Health,30905,0,0,1,17049,2,2.7,4.6,1.0,0.552,3.56,0.514,1,2025-06-11
100202,40,M,94,Health,3274,0,0,0,0,2,1.3,5.0,1.0,0.0,3.8,0.867,1,2025-02-23
100203,56,M,19,Term,7088,1,1,0,0,2,2.2,3.7,0.95,0.0,3.02,0.563,1,2025-11-01
100204,62,M,102,Health,10219,0,0,0,0,0,2.6,5.0,1.0,0.0,3.0,0.98,1,2024-03-20
100205,32,M,42,Health,16098,0,1,1,6492,0,3.3,2.8,1.0,0.403,1.68,0.719,1,2025-11-13
100206,60,F,20,Whole,16004,0,1,0,0,3,5.6,2.7,1.0,0.0,2.82,0.864,1,2025-11-19
100207,46,M,99,Motor,10234,0,1,0,0,2,3.0,3.8,1.0,0.0,3.08,0.98,1,2024-12-14
100208,53,F,86,Term,23558,1,1,1,14529,0,5.5,2.6,0.989,0.617,1.56,0.419,0,2024-12-23
100209,30,F,79,Health,22460,1,1,1,22495,4,5.3,3.3,0.988,1.002,3.58,0.382,1,2025-06-05
100210,49,M,11,Term,9629,0,1,0,0,0,3.3,3.3,1.0,0.0,1.98,0.747,1,2025-10-07
100211,24,F,54,Health,20552,0,1,0,0,1,0.0,4.2,1.0,0.0,2.92,0.956,1,2025-05-13
100212,76,M,98,Term,8138,0,0,0,0,2,4.8,3.9,1.0,0.0,3.14,0.799,0,2024-02-08
100213,68,M,24,Whole,9420,1,1,1,11385,1,4.4,3.6,0.96,1.209,2.56,0.465,0,2024-08-01
100214,39,M,70,Health,24713,0,0,0,0,2,2.6,4.4,1.0,0.0,3.44,0.894,0,2024-02-23
100215,45,M,17,Health,12922,0,0,0,0,1,0.9,3.6,1.0,0.0,2.56,0.813,1,2024-07-13
100216,19,M,28,Health,11390,0,1,0,0,3,2.9,5.0,1.0,0.0,4.2,0.906,1,2025-03-06
100217,59,F,50,Whole,7950,0,0,0,0,0,4.0,3.9,1.0,0.0,2.34,0.778,1,2025-05-20
100218,62,M,95,Health,4161,0,1,0,0,3,0.6,5.0,1.0,0.0,4.2,0.912,1,2024-04-07
100219,79,F,100,Health,25005,1,0,0,0,5,0.6,4.0,0.99,0.0,4.4,0.598,0,2025-05-10
100220,74,M,55,Whole,23622,0,1,0,0,3,9.2,4.2,1.0,0.0,3.72,0.882,1,2025-10-22
100221,70,F,73,Motor,13586,0,1,0,0,0,0.7,1.3,1.0,0.0,0.78,0.778,1,2024-08-12
100222,23,M,10,Health,22949,1,1,0,0,1,1.6,3.4,0.909,0.0,2.44,0.623,1,2024-04-14
100223,45,M,21,Whole,33523,0,0,0,0,0,6.2,4.0,1.0,0.0,2.4,0.886,0,2025-02-18
100224,45,M,58,Home,18665,0,0,0,0,1,1.1,3.4,1.0,0.0,2.44,0.83,1,2025-06-29
100225,61,M,34,Motor,19638,0,1,0,0,3,0.9,4.1,1.0,0.0,3.66,0.98,1,2025-11-26
100226,61,M,95,Home,13034,0,1,0,0,4,4.9,2.5,1.0,0.0,3.1,0.98,1,2025-11-02
100227,37,F,93,Motor,9130,0,1,0,0,1,0.0,3.3,1.0,0.0,2.38,0.98,1,2024-10-03
100228,47,M,107,Health,6596,0,1,1,8023,2,2.0,2.6,1.0,1.216,2.36,0.65,1,2025-01-25
100229,79,F,43,Whole,5522,1,0,0,0,2,4.3,3.8,0.977,0.0,3.08,0.474,0,2025-06-18
100230,28,F,11,Motor,12521,0,1,0,0,2,6.0,4.4,1.0,0.0,3.44,0.936,1,2024-07-06
100231,75,F,33,Home,33915,1,1,1,19932,2,4.0,5.0,0.971,0.588,3.8,0.482,0,2025-11-09
100232,72,M,58,Health,5329,0,1,1,8091,2,3.9,4.9,1.0,1.518,3.74,0.685,1,2025-01-24
100233,45,M,46,Motor,20532,1,0,0,0,1,3.3,4.5,0.979,0.0,3.1,0.459,1,2024-06-04
100234,42,F,61,Whole,21821,2,0,1,28070,4,5.6,4.1,0.968,1.286,4.06,0.386,0,2025-08-27
